0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1101,2014,152,140,453,315,235,427,30,226,168,127,597,607,79,121,98,62,210,332,73,162,6,2.0,1.0,2.0,2.0
1101,2015,197,203,577,359,334,550,33,370,231,192,939,945,91,166,101,42,332,305,81,175,5,3.0,2.0,1.0,6.0
1101,2016,254,185,603,362,324,607,66,292,221,165,902,906,76,182,154,84,348,415,69,191,31,8.0,2.0,4.0,4.0
1101,2017,239,177,554,362,300,572,69,258,189,165,887,884,77,175,139,72,340,298,76,159,22,8.0,,5.0,2.0
1101,2018,291,175,568,389,364,627,98,243,244,182,855,851,98,193,130,69,375,355,67,220,32,9.0,3.0,6.0,4.0
1101,2019,291,210,556,338,338,664,74,320,263,190,1008,997,84,232,153,67,424,400,48,208,35,9.0,,1.0,
1102,2010,258,163,508,371,362,576,44,247,196,136,968,967,121,140,138,69,356,290,104,132,18,5.0,1.0,,1.0
1102,2011,245,201,526,358,328,674,74,290,170,197,1085,1091,117,187,147,70,472,388,110,127,35,3.0,2.0,2.0,2.0
1102,2012,222,169,459,351,338,602,80,214,157,140,801,803,95,169,135,71,361,341,93,144,29,4.0,6.0,3.0,4.0
1102,2013,270,252,526,359,409,665,50,256,212,175,795,797,115,184,118,75,465,348,98,165,31,,2.0,,2.0
1102,2014,250,200,528,377,408,640,83,255,244,147,725,741,100,148,154,81,375,372,122,165,17,4.0,3.0,1.0,3.0
1102,2015,331,208,515,340,379,603,57,212,255,117,850,852,115,183,133,73,432,299,96,193,28,1.0,2.0,1.0,6.0
1102,2016,311,189,580,396,377,765,50,322,264,176,770,772,115,183,183,85,391,440,85,251,17,4.0,3.0,1.0,1.0
1102,2017,277,246,555,386,432,782,55,363,293,210,981,982,130,183,160,84,449,470,84,205,14,4.0,2.0,2.0,2.0
1102,2018,226,229,524,365,475,655,76,290,282,165,861,856,105,184,119,63,402,384,82,188,32,5.0,4.0,2.0,5.0
1102,2019,281,225,526,409,470,792,56,311,240,231,829,825,107,149,155,72,412,330,82,166,27,3.0,,1.0,
1103,2010,399,229,675,458,440,772,109,347,453,180,1581,1590,181,210,214,135,457,477,96,315,34,10.0,2.0,6.0,5.0
1103,2011,338,265,654,400,468,823,115,311,335,187,1501,1510,183,216,163,81,485,438,98,318,33,14.0,9.0,2.0,9.0
1103,2012,428,195,597,471,340,786,140,293,380,123,1198,1210,164,238,190,110,459,500,85,330,76,11.0,7.0,5.0,11.0
1103,2013,397,243,629,487,471,872,194,258,437,157,1284,1289,176,235,228,150,533,497,78,337,92,9.0,5.0,4.0,11.0
1103,2014,398,239,604,446,451,763,142,244,410,131,1189,1192,192,225,247,155,387,467,85,335,40,5.0,7.0,4.0,5.0
1103,2015,334,320,635,414,596,814,152,210,407,95,1207,1211,191,213,176,103,422,396,80,316,28,10.0,4.0,2.0,12.0
1103,2016,351,400,608,365,645,890,131,217,358,95,1166,1159,145,182,176,101,489,426,75,298,29,7.0,3.0,5.0,5.0
1103,2017,393,342,621,393,580,837,107,160,329,101,1116,1118,135,185,204,117,489,486,65,274,45,9.0,2.0,3.0,17.0
1103,2018,301,293,620,427,533,727,74,186,296,121,1078,1077,157,185,151,91,401,387,111,281,48,2.0,1.0,3.0,13.0
1103,2019,313,275,545,369,593,831,97,206,289,116,1169,1168,80,174,145,74,370,360,107,278,36,2.0,,6.0,3.0
1104,2010,263,175,582,410,325,740,127,428,386,250,926,928,129,249,157,75,429,435,96,220,88,15.0,18.0,12.0,5.0
1104,2011,354,152,673,515,358,881,190,456,458,247,973,981,126,351,174,88,454,461,89,269,138,39.0,23.0,30.0,8.0
1104,2012,309,136,607,422,334,806,137,393,351,235,889,876,127,239,158,67,402,443,80,194,78,20.0,10.0,12.0,3.0
1104,2013,300,188,601,437,381,772,155,465,368,224,981,987,123,281,158,76,365,438,109,181,49,20.0,13.0,7.0,4.0
1104,2014,303,178,594,367,357,700,131,290,307,161,769,821,125,209,190,99,334,482,95,239,50,12.0,8.0,7.0,2.0
1104,2015,256,218,632,391,459,767,118,303,310,199,874,931,138,206,184,90,341,523,110,154,51,11.0,6.0,9.0,10.0
1104,2016,237,259,630,438,504,814,176,292,327,156,924,961,117,192,215,112,347,458,100,198,72,14.0,7.0,11.0,4.0
1104,2017,284,225,664,474,485,908,141,380,418,182,1161,1207,123,200,216,127,390,487,99,223,95,23.0,7.0,6.0,2.0
1104,2018,311,229,676,514,474,933,192,356,361,200,1173,1175,145,228,240,113,458,555,100,210,158,12.0,11.0,14.0,8.0
1104,2019,290,233,566,449,455,872,154,350,368,187,1027,1040,116,152,240,116,401,482,92,219,107,10.0,6.0,19.0,
1105,2010,201,85,457,357,203,475,115,291,297,129,576,575,73,213,185,112,215,392,68,267,36,17.0,8.0,7.0,3.0
1105,2011,213,107,494,397,268,616,127,356,296,158,667,674,62,214,181,91,292,354,75,198,65,10.0,1.0,17.0,4.0
1105,2012,222,133,564,405,288,559,97,313,274,135,586,592,58,154,141,71,266,311,72,193,47,10.0,3.0,14.0,5.0
1105,2013,227,134,486,403,334,656,95,409,333,172,491,497,76,157,185,107,316,360,82,196,59,18.0,1.0,10.0,2.0
1105,2014,232,171,609,371,358,668,114,305,275,154,679,680,71,164,178,85,351,410,67,202,40,6.0,9.0,9.0,5.0
1105,2015,223,161,545,397,393,603,66,280,348,116,539,528,90,158,179,122,337,395,66,195,54,25.0,8.0,18.0,4.0
1105,2016,252,161,523,323,394,631,58,300,309,142,558,553,70,152,160,108,348,401,39,193,69,8.0,4.0,8.0,1.0
1105,2017,227,111,439,317,282,543,44,279,257,147,559,560,72,90,144,93,263,342,46,226,29,11.0,2.0,2.0,3.0
1105,2018,280,182,506,514,419,711,49,344,331,168,767,766,94,123,154,87,340,345,79,246,32,11.0,9.0,3.0,2.0
1105,2019,287,180,570,477,383,686,48,431,305,214,873,860,58,221,161,86,379,277,61,201,23,11.0,4.0,4.0,1.0
1106,2010,245,166,577,457,368,625,117,298,374,144,657,657,100,209,206,111,354,437,102,233,36,3.0,,4.0,8.0
1106,2011,273,156,713,497,378,723,148,400,422,201,830,824,100,230,255,142,373,472,94,234,25,11.0,5.0,3.0,5.0
1106,2012,235,171,557,428,392,617,85,361,360,140,636,644,95,208,185,90,313,302,105,201,18,8.0,4.0,4.0,1.0
1106,2013,278,163,578,462,369,716,99,426,384,222,735,739,99,191,191,112,356,331,106,234,33,9.0,2.0,8.0,2.0
1106,2014,229,154,529,351,396,643,101,387,375,248,593,596,108,195,187,93,350,470,93,200,45,15.0,8.0,6.0,1.0
1106,2015,221,154,483,370,281,700,113,472,360,253,649,641,87,164,166,95,362,363,89,140,53,15.0,7.0,7.0,2.0
1106,2016,248,201,619,350,405,713,110,440,367,219,729,733,78,166,148,90,343,393,77,228,39,12.0,6.0,2.0,2.0
1106,2017,206,157,531,395,387,615,71,295,349,173,643,641,73,135,155,88,229,335,74,228,12,23.0,14.0,4.0,3.0
1106,2018,278,209,647,437,429,737,130,415,393,205,820,820,72,169,202,82,313,418,91,229,47,12.0,9.0,5.0,7.0
1106,2019,275,205,530,420,432,649,87,308,348,124,724,704,83,179,215,87,286,396,82,240,39,8.0,,4.0,
